"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 02- 01","5,364.04","5,122.62","5,376.92","4,899.30","5.58B","2.67%"
"2026- 01- 01","5,224.36","4,224.53","5,321.68","4,216.68","11.55B","23.97%"
"2025- 12- 01","4,214.17","3,967.92","4,226.36","3,892.08","8.41B","7.32%"
"2025- 11- 01","3,926.59","4,123.36","4,226.75","3,833.35","7.30B","-4.40%"
"2025- 10- 01","4,107.50","3,444.06","4,146.72","3,440.42","8.66B","19.94%"
"2025- 09- 01","3,424.60","3,164.58","3,497.95","3,135.02","8.20B","7.49%"
"2025- 08- 01","3,186.01","3,210.32","3,242.17","3,079.27","6.36B","-1.83%"
"2025- 07- 01","3,245.44","3,089.64","3,288.26","3,032.47","11.31B","5.66%"
"2025- 06- 01","3,071.70","2,692.91","3,129.09","2,685.14","10.77B","13.86%"
"2025- 05- 01","2,697.67","2,556.52","2,720.64","2,540.57","8.02B","5.52%"
"2025- 04- 01","2,556.61","2,511.24","2,571.41","2,284.72","11.38B","3.04%"
"2025- 03- 01","2,481.12","2,522.20","2,654.63","2,479.46","9.44B","-2.04%"
"2025- 02- 01","2,532.78","2,468.74","2,680.70","2,437.61","9.55B","0.61%"
"2025- 01- 01","2,517.37","2,400.87","2,552.57","2,386.84","8.30B","4.91%"
"2024- 12- 01","2,399.49","2,479.02","2,515.62","2,360.18","9.93B","-2.30%"
"2024- 11- 01","2,455.91","2,542.96","2,593.15","2,390.56","10.06B","-3.92%"
"2024- 10- 01","2,556.15","2,566.55","2,635.32","2,552.36","7.74B","-1.43%"
"2024- 09- 01","2,593.27","2,683.80","2,695.59","2,491.30","6.53B","-3.03%"
"2024- 08- 01","2,674.31","2,787.27","2,794.11","2,386.96","8.69B","-3.48%"
"2024- 07- 01","2,770.69","2,792.96","2,896.43","2,703.86","10.79B","-0.97%"
"2024- 06- 01","2,797.82","2,657.81","2,812.62","2,657.81","12.19B","6.12%"
"2024- 05- 01","2,636.52","2,693.22","2,773.46","2,635.44","10.28B","-2.06%"
"2024- 04- 01","2,692.06","2,766.24","2,769.87","2,553.55","10.64B","-1.99%"
"2024- 03- 01","2,746.63","2,664.52","2,779.40","2,630.16","10.17B","3.95%"
"2024- 02- 01","2,642.36","2,491.93","2,694.80","2,491.93","10.03B","5.82%"
"2024- 01- 01","2,497.09","2,645.47","2,675.80","2,429.12","12.21B","-5.96%"
"2023- 12- 01","2,655.28","2,520.49","2,655.28","2,481.00","8.54B","4.73%"
"2023- 11- 01","2,535.29","2,292.89","2,535.29","2,288.64","9.19B","11.30%"
"2023- 10- 01","2,277.99","2,435.78","2,479.82","2,273.97","9.78B","-7.59%"
"2023- 09- 01","2,465.07","2,551.93","2,611.00","2,445.51","7.81B","-3.57%"
"2023- 08- 01","2,556.27","2,644.34","2,668.21","2,482.06","12.29B","-2.90%"
"2023- 07- 01","2,632.58","2,580.89","2,646.71","2,515.07","12.04B","2.66%"
"2023- 06- 01","2,564.28","2,572.56","2,650.45","2,541.72","12.52B","-0.50%"
"2023- 05- 01","2,577.12","2,504.01","2,596.31","2,455.99","13.83B","3.02%"
"2023- 04- 01","2,501.53","2,485.81","2,582.23","2,458.50","16.70B","1.00%"
"2023- 03- 01","2,476.86","2,414.61","2,481.24","2,346.11","10.08B","2.65%"
"2023- 02- 01","2,412.85","2,446.03","2,487.35","2,383.76","9.66B","-0.50%"
"2023- 01- 01","2,425.08","2,249.95","2,497.40","2,180.67","9.42B","8.44%"
"2022- 12- 01","2,236.40","2,501.43","2,501.43","2,236.38","8.44B","-9.55%"
"2022- 11- 01","2,472.53","2,301.58","2,499.43","2,296.44","12.75B","7.80%"
"2022- 10- 01","2,293.61","2,189.51","2,295.51","2,162.87","11.77B","6.41%"
"2022- 09- 01","2,155.49","2,443.00","2,453.95","2,134.77","9.38B","-12.81%"
"2022- 08- 01","2,472.05","2,444.05","2,546.35","2,417.01","9.77B","0.84%"
"2022- 07- 01","2,451.50","2,342.92","2,463.05","2,276.63","7.96B","5.10%"
"2022- 06- 01","2,332.64","2,670.74","2,681.51","2,306.48","12.01B","-13.15%"
"2022- 05- 01","2,685.90","2,669.21","2,702.10","2,546.80","16.87B","-0.34%"
"2022- 04- 01","2,695.05","2,745.85","2,769.18","2,615.50","22.03B","-2.27%"
"2022- 03- 01","2,757.65","2,698.31","2,765.20","2,605.81","14.41B","2.17%"
"2022- 02- 01","2,699.18","2,706.34","2,788.27","2,642.63","10.12B","1.35%"
"2022- 01- 01","2,663.34","2,998.32","3,010.77","2,591.53","10.93B","-10.56%"
"2021- 12- 01","2,977.65","2,860.12","3,043.83","2,837.03","10.67B","4.88%"
"2021- 11- 01","2,839.01","2,984.18","3,034.30","2,822.73","13.79B","-4.43%"
"2021- 10- 01","2,970.68","3,056.21","3,062.60","2,901.51","13.91B","-3.20%"
"2021- 09- 01","3,068.82","3,195.67","3,215.13","3,030.60","14.27B","-4.08%"
"2021- 08- 01","3,199.27","3,218.42","3,296.17","3,049.03","13.80B","-0.10%"
"2021- 07- 01","3,202.32","3,297.92","3,313.51","3,188.80","22.12B","-2.86%"
"2021- 06- 01","3,296.68","3,207.12","3,316.08","3,199.18","35.35B","2.90%"
"2021- 05- 01","3,203.92","3,149.05","3,255.90","3,103.88","18.79B","1.78%"
"2021- 04- 01","3,147.86","3,073.77","3,223.05","3,069.68","31.07B","2.82%"
"2021- 03- 01","3,061.42","3,021.68","3,096.50","2,929.36","27.90B","1.61%"
"2021- 02- 01","3,012.95","2,976.81","3,180.94","2,947.24","30.03B","1.23%"
"2021- 01- 01","2,976.21","2,874.50","3,266.23","2,869.11","26.09B","3.58%"
"2020- 12- 01","2,873.47","2,613.42","2,878.21","2,611.67","24.56B","10.89%"
"2020- 11- 01","2,591.34","2,276.61","2,648.66","2,267.95","24.38B","14.30%"
"2020- 10- 01","2,267.15","2,330.55","2,418.89","2,266.93","15.71B","-2.61%"
"2020- 09- 01","2,327.89","2,340.19","2,450.53","2,267.63","19.61B","0.07%"
"2020- 08- 01","2,326.17","2,251.65","2,458.17","2,237.04","17.64B","3.41%"
"2020- 07- 01","2,249.37","2,128.81","2,281.41","2,101.33","18.87B","6.69%"
"2020- 06- 01","2,108.33","2,037.04","2,217.21","2,030.82","19.86B","3.88%"
"2020- 05- 01","2,029.60","1,906.42","2,054.52","1,894.29","16.21B","4.21%"
"2020- 04- 01","1,947.56","1,737.28","1,957.51","1,664.13","21.05B","10.99%"
"2020- 03- 01","1,754.64","1,997.03","2,089.08","1,439.43","17.09B","-11.69%"
"2020- 02- 01","1,987.01","2,086.61","2,255.49","1,980.82","13.96B","-6.23%"
"2020- 01- 01","2,119.01","2,201.21","2,277.23","2,119.01","13.10B","-3.58%"
"2019- 12- 01","2,197.67","2,097.55","2,215.55","2,053.56","10.19B","5.25%"
"2019- 11- 01","2,087.96","2,084.79","2,165.89","2,081.53","10.74B","0.22%"
"2019- 10- 01","2,083.48","2,062.44","2,105.17","2,010.90","8.88B","0.99%"
"2019- 09- 01","2,063.05","1,961.19","2,101.63","1,958.59","8.62B","4.84%"
"2019- 08- 01","1,967.79","2,015.09","2,032.23","1,891.81","10.47B","-2.80%"
"2019- 07- 01","2,024.55","2,147.24","2,147.24","2,010.95","11.91B","-4.98%"
"2019- 06- 01","2,130.62","2,031.03","2,141.27","2,029.17","11.26B","4.35%"
"2019- 05- 01","2,041.74","2,192.94","2,217.03","2,016.25","11.24B","-7.34%"
"2019- 04- 01","2,203.59","2,153.31","2,252.05","2,153.31","9.69B","2.94%"
"2019- 03- 01","2,140.67","2,210.97","2,216.02","2,120.93","6.46B","-2.49%"
"2019- 02- 01","2,195.44","2,211.93","2,241.76","2,167.36","6.88B","-0.43%"
"2019- 01- 01","2,204.85","2,050.55","2,222.88","1,984.53","9.46B","8.03%"
"2018- 12- 01","2,041.04","2,127.78","2,136.64","2,014.28","7.63B","-2.66%"
"2018- 11- 01","2,096.86","2,035.11","2,136.74","2,023.43","6.98B","3.31%"
"2018- 10- 01","2,029.69","2,349.64","2,352.11","1,985.95","7.02B","-13.37%"
"2018- 09- 01","2,343.07","2,317.93","2,356.62","2,264.90","5.43B","0.87%"
"2018- 08- 01","2,322.88","2,301.17","2,322.88","2,218.09","6.20B","1.20%"
"2018- 07- 01","2,295.26","2,322.23","2,327.59","2,243.90","7.51B","-1.33%"
"2018- 06- 01","2,326.13","2,419.63","2,479.56","2,296.39","9.45B","-4.00%"
"2018- 05- 01","2,423.01","2,515.75","2,516.57","2,399.58","12.82B","-3.67%"
"2018- 04- 01","2,515.38","2,454.72","2,515.38","2,405.91","10.44B","2.84%"
"2018- 03- 01","2,445.85","2,406.57","2,508.71","2,374.80","8.08B","0.76%"
"2018- 02- 01","2,427.36","2,578.91","2,583.74","2,346.73","7.28B","-5.42%"
"2018- 01- 01","2,566.46","2,474.86","2,607.10","2,465.94","8.25B","4.01%"
"2017- 12- 01","2,467.49","2,488.92","2,514.61","2,411.48","5.75B","-0.36%"
"2017- 11- 01","2,476.37","2,535.97","2,561.63","2,474.28","7.47B","-1.86%"
"2017- 10- 01","2,523.43","2,425.63","2,528.32","2,421.10","5.05B","5.39%"
"2017- 09- 01","2,394.47","2,367.45","2,429.12","2,314.31","5.84B","1.32%"
"2017- 08- 01","2,363.19","2,397.12","2,434.47","2,310.20","5.72B","-1.64%"
"2017- 07- 01","2,402.71","2,397.66","2,453.17","2,372.83","6.23B","0.46%"
"2017- 06- 01","2,391.79","2,348.31","2,402.80","2,335.63","7.48B","1.89%"
"2017- 05- 01","2,347.38","2,213.61","2,371.67","2,212.87","7.03B","6.44%"
"2017- 04- 01","2,205.44","2,166.04","2,217.04","2,117.82","7.73B","2.09%"
"2017- 03- 01","2,160.23","2,105.19","2,182.42","2,067.68","8.87B","3.28%"
"2017- 02- 01","2,091.64","2,075.31","2,108.99","2,052.29","7.13B","1.16%"
"2017- 01- 01","2,067.57","2,022.23","2,091.02","2,015.68","8.42B","2.03%"
"2016- 12- 01","2,026.46","1,987.48","2,053.46","1,960.65","6.04B","2.17%"
"2016- 11- 01","1,983.48","2,003.41","2,015.23","1,931.07","6.61B","-1.23%"
"2016- 10- 01","2,008.19","2,056.94","2,070.43","2,002.29","6.64B","-1.73%"
"2016- 09- 01","2,043.63","2,022.96","2,073.89","1,991.47","8.85B","0.44%"
"2016- 08- 01","2,034.65","2,024.71","2,063.09","1,993.00","7.81B","0.92%"
"2016- 07- 01","2,016.19","1,977.36","2,030.69","1,944.33","8.07B","2.33%"
"2016- 06- 01","1,970.35","1,976.87","2,035.27","1,892.75","9.82B","-0.66%"
"2016- 05- 01","1,983.40","1,991.84","1,991.84","1,937.67","9.65B","-0.54%"
"2016- 04- 01","1,994.15","1,994.77","2,023.77","1,954.11","7.97B","-0.09%"
"2016- 03- 01","1,995.85","1,944.27","2,009.10","1,935.55","7.75B","4.13%"
"2016- 02- 01","1,916.66","1,919.62","1,929.53","1,817.97","6.19B","0.24%"
"2016- 01- 01","1,912.06","1,954.47","1,954.52","1,830.06","7.30B","-2.51%"
"2015- 12- 01","1,961.31","2,001.51","2,026.33","1,919.22","9.51B","-1.54%"
"2015- 11- 01","1,991.97","2,033.15","2,056.12","1,942.85","9.00B","-1.85%"
"2015- 10- 01","2,029.47","1,963.55","2,064.72","1,958.63","13.19B","3.40%"
"2015- 09- 01","1,962.81","1,934.44","1,996.47","1,868.48","10.05B","1.10%"
"2015- 08- 01","1,941.49","2,026.25","2,038.41","1,800.75","8.37B","-4.37%"
"2015- 07- 01","2,030.16","2,077.27","2,110.81","1,983.78","13.37B","-2.12%"
"2015- 06- 01","2,074.20","2,110.12","2,110.88","2,008.46","9.17B","-1.92%"
"2015- 05- 01","2,114.80","2,134.51","2,148.70","2,067.99","7.39B","-0.58%"
"2015- 04- 01","2,127.17","2,035.40","2,189.54","2,024.64","11.58B","4.22%"
"2015- 03- 01","2,041.03","1,996.72","2,047.13","1,969.13","8.51B","2.78%"
"2015- 02- 01","1,985.80","1,947.91","1,993.43","1,932.75","5.91B","1.87%"
"2015- 01- 01","1,949.26","1,914.24","1,964.13","1,876.27","6.85B","1.76%"
"2014- 12- 01","1,915.59","1,971.95","1,990.04","1,881.73","6.71B","-3.29%"
"2014- 11- 01","1,980.78","1,959.66","1,994.82","1,923.05","6.30B","0.83%"
