통계표,계정항목,단위,변환,2003/Q1,2003/Q2,2003/Q3,2003/Q4,2004/Q1,2004/Q2,2004/Q3,2004/Q4,2005/Q1,2005/Q2,2005/Q3,2005/Q4,2006/Q1,2006/Q2,2006/Q3,2006/Q4,2007/Q1,2007/Q2,2007/Q3,2007/Q4,2008/Q1,2008/Q2,2008/Q3,2008/Q4,2009/Q1,2009/Q2,2009/Q3,2009/Q4,2010/Q1,2010/Q2,2010/Q3,2010/Q4,2011/Q1,2011/Q2,2011/Q3,2011/Q4,2012/Q1,2012/Q2,2012/Q3,2012/Q4,2013/Q1,2013/Q2,2013/Q3,2013/Q4,2014/Q1,2014/Q2,2014/Q3,2014/Q4,2015/Q1,2015/Q2,2015/Q3,2015/Q4,2016/Q1,2016/Q2,2016/Q3,2016/Q4,2017/Q1,2017/Q2,2017/Q3,2017/Q4,2018/Q1,2018/Q2,2018/Q3,2018/Q4,2019/Q1,2019/Q2,2019/Q3,2019/Q4,2020/Q1,2020/Q2,2020/Q3,2020/Q4,2021/Q1,2021/Q2,2021/Q3,2021/Q4,2022/Q1,2022/Q2,2022/Q3,2022/Q4,2023/Q1,2023/Q2,2023/Q3,2023/Q4,2024/Q1,2024/Q2,2024/Q3,2024/Q4,2025/Q1,2025/Q2,2025/Q3
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","산업별대출금","십억원","원자료","266,338.6","277,690.2","285,246.9","284,503.9","294,659.0","295,670.5","296,491.1","289,328.8","292,520.1","296,151.4","301,395.0","308,408.9","318,130.8","329,970.6","340,521.9","353,208.0","368,426.4","396,994.3","420,229.7","440,043.1","465,822.9","493,407.0","516,928.7","528,536.9","542,479.1","546,886.1","553,547.2","544,001.2","552,454.8","556,336.9","560,760.7","555,691.0","573,215.7","584,543.5","602,620.3","607,335.8","617,245.1","625,821.0","637,571.3","632,513.2","641,951.6","655,155.4","669,031.6","673,629.1","690,495.6","707,670.5","718,984.6","730,466.5","745,640.5","756,542.9","772,893.3","783,088.0","791,997.0","800,346.0","810,308.0","806,728.9","817,387.2","822,902.4","836,999.8","843,655.5","856,956.7","865,254.1","881,382.7","887,195.6","898,811.4","911,049.7","919,087.4","930,894.2","965,794.0","1,010,764.4","1,031,203.6","1,043,846.8","1,068,655.2","1,090,533.3","1,118,875.3","1,140,596.6","1,168,729.3","1,204,944.4","1,237,308.8","1,263,286.4","1,280,694.0","1,303,185.4","1,333,599.7","1,350,510.1","1,376,237.7","1,401,619.3","1,421,247.1","1,422,899.1","1,436,710.4","1,451,007.2","1,471,429.0"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","  농업, 임업 및 어업","십억원","원자료","18,892.3","19,158.0","18,468.8","17,312.3","17,388.4","17,030.8","16,321.4","15,125.5","15,207.0","15,114.0","14,935.5","14,598.7","14,716.0","14,871.0","14,735.2","14,462.2","14,688.2","14,956.7","14,054.4","13,890.8","13,464.6","14,438.8","14,974.6","14,708.6","15,149.4","14,858.9","14,895.7","15,053.4","15,094.5","15,099.7","14,995.7","15,138.3","14,988.3","15,056.1","14,861.9","14,846.5","14,955.3","15,417.4","15,599.8","15,770.6","15,935.0","16,462.8","17,037.9","17,171.4","17,428.0","17,878.4","18,133.1","18,262.6","18,259.4","18,599.0","19,026.9","19,341.2","19,372.6","19,590.3","19,859.3","19,951.1","20,042.2","20,299.6","21,097.9","20,777.5","20,969.8","21,480.7","21,776.9","22,215.6","22,527.7","23,190.5","23,810.2","24,203.1","24,662.6","25,387.3","25,806.9","26,078.6","26,426.1","26,857.9","27,261.5","27,566.5","27,870.1","28,439.5","29,673.4","30,430.1","30,755.4","31,675.2","32,178.4","32,241.3","32,142.6","33,264.4","33,572.8","33,447.7","33,599.1","34,004.4","34,287.6"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","  광업","십억원","원자료","933.1","955.5","937.0","916.4","848.0","848.4","808.1","823.1","831.0","846.2","847.1","828.0","824.3","876.8","851.9","829.0","782.4","805.5","836.1","941.8","929.3","980.9","921.7","927.3","893.6","972.4","1,017.6","1,024.7","970.3","966.8","1,033.1","1,045.6","1,039.7","1,021.8","1,049.1","1,062.0","1,128.2","1,123.5","1,135.8","1,105.9","1,126.9","1,164.8","1,148.7","1,156.1","1,130.1","1,154.2","1,075.0","1,046.3","1,069.8","991.5","979.8","1,107.5","954.0","956.6","933.4","1,194.8","951.4","934.5","1,078.8","940.3","861.5","909.0","905.0","913.4","919.1","922.7","886.6","955.4","842.4","927.3","864.4","951.6","919.3","942.1","933.6","900.8","946.3","912.0","905.1","977.7","1,098.8","1,066.2","1,063.1","958.6","1,062.5","1,005.9","933.1","1,497.8","1,561.4","1,327.6","1,182.7"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","  제조업","십억원","원자료","104,001.2","106,464.5","108,451.4","105,590.7","109,201.3","110,032.9","111,284.6","109,838.5","112,504.7","114,513.9","116,721.5","117,702.9","119,987.8","122,362.5","125,381.1","127,470.8","132,559.8","141,338.9","148,449.4","149,836.5","159,821.1","168,502.3","180,638.3","187,250.7","192,326.1","195,449.2","198,981.3","196,556.7","203,892.7","205,858.6","210,486.8","207,259.5","216,776.9","224,578.5","231,302.2","232,005.2","241,024.4","245,240.6","252,392.9","248,282.5","256,023.9","261,873.8","268,224.8","265,208.1","273,430.3","279,198.0","283,426.4","287,606.6","295,492.5","298,269.1","303,269.3","302,617.1","305,358.6","306,272.7","309,146.5","300,677.2","306,358.0","306,612.4","310,252.8","310,390.4","315,328.1","315,631.7","319,134.5","316,915.4","322,095.4","324,310.6","324,226.7","323,125.6","335,077.5","346,470.2","351,046.0","348,906.0","355,329.3","358,099.3","363,681.0","365,247.5","374,013.7","382,491.4","390,311.1","393,850.7","403,208.6","408,597.9","418,966.6","420,377.8","431,952.9","438,730.7","446,969.3","447,073.5","453,649.5","459,436.4","463,356.5"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    식료품 및 음료","십억원","원자료","7,757.0","7,792.4","7,950.3","7,628.6","7,803.1","7,512.8","7,493.9","7,428.9","7,755.2","7,509.9","8,422.1","8,481.9","7,852.0","7,827.9","7,515.1","7,677.2","7,801.7","8,013.2","8,531.6","8,931.5","9,649.0","9,846.5","10,459.8","10,965.5","10,795.9","10,919.8","10,756.8","11,152.6","11,539.6","11,630.7","11,898.0","12,308.8","12,668.9","13,092.5","12,667.9","13,778.5","13,877.4","13,950.4","14,185.9","14,014.7","14,733.1","15,211.7","15,340.2","15,760.7","16,061.0","15,845.5","15,978.4","16,497.9","16,847.4","17,064.6","17,296.0","17,766.3","18,002.9","18,193.9","18,323.7","18,893.0","19,212.1","19,501.3","20,004.7","20,840.8","21,098.9","21,304.4","21,753.9","22,398.7","23,134.9","23,399.6","23,779.8","24,386.5","25,118.6","25,758.4","26,315.6","26,783.1","27,592.5","27,561.6","28,156.7","29,072.4","29,759.5","30,638.2","31,108.1","32,267.4","32,544.2","32,402.5","32,906.1","33,740.2","34,196.2","34,210.0","34,834.5","35,601.0","35,876.5","36,348.0","36,586.3"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    담배","십억원","원자료","148.1","107.0","31.5","6.5","7.1","21.8","21.8","25.1","10.0","15.0","10.4","25.2","25.2","25.9","27.1","27.0","33.0","36.8","27.6","36.1","35.7","33.4","41.3","31.5","25.8","16.9","17.9","17.3","18.1","17.1","16.5","15.8","15.8","65.2","34.9","1.4","1.6","1.4","1.4","1.4","13.3","24.1","25.6","12.0","22.9","43.8","27.0","19.7","1.5","1.4","2.0","26.7","0.9","9.5","50.7","171.3","266.6","240.1","43.7","165.0","153.3","243.6","214.9","598.2","230.7","215.3","155.3","170.4","296.6","212.8","151.3","43.7","122.4","1.1","64.1","65.1","84.6","105.2","25.7","23.4","80.8","45.2","31.2","0.7","162.2","48.2","403.5","285.2","257.7","193.1","476.5"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    섬유제품","십억원","원자료","8,978.0","8,930.6","8,871.9","8,305.6","8,460.4","8,237.4","8,063.2","7,694.2","7,689.9","7,489.4","7,423.1","7,243.2","7,214.8","7,037.8","7,018.5","6,871.6","7,049.9","7,119.8","7,251.9","6,910.7","6,263.5","6,373.2","6,385.1","6,323.6","6,394.8","6,481.7","6,615.3","6,492.8","6,545.5","6,652.0","6,731.3","6,634.4","6,942.1","7,038.6","7,295.3","7,281.2","7,539.1","7,593.0","7,798.8","7,875.1","8,029.8","8,167.5","8,331.6","8,477.1","8,880.8","9,066.6","9,378.0","9,385.9","9,665.0","9,693.3","9,847.8","9,907.9","9,984.3","10,069.1","10,204.1","10,044.2","10,331.0","10,348.5","10,290.2","10,205.0","10,314.0","10,215.0","10,326.0","10,373.6","10,470.6","10,309.7","10,349.8","10,340.8","10,591.3","11,000.3","11,163.9","11,152.8","11,298.9","11,426.0","11,556.3","11,611.0","11,784.5","11,992.6","11,984.9","11,795.6","11,784.9","11,662.4","11,686.1","11,627.3","12,025.6","11,955.4","11,903.6","11,908.7","11,814.9","11,802.8","11,804.1"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    의복, 의복액세서리 및 모피제품","십억원","원자료","3,242.1","3,456.4","3,571.7","3,344.6","3,454.1","3,294.5","3,442.3","3,157.6","3,138.0","3,115.6","3,152.5","2,853.9","3,016.2","2,986.6","3,265.6","3,161.6","3,279.4","3,430.8","3,831.1","3,983.2","4,858.8","4,795.2","5,169.8","5,025.3","5,103.4","5,108.1","5,177.4","4,987.6","5,114.3","5,241.2","5,565.7","5,276.5","5,467.4","5,593.6","6,057.9","5,864.8","6,041.0","6,148.2","6,555.7","6,166.3","6,494.4","6,855.2","7,258.2","7,146.0","7,325.7","7,309.7","7,718.9","7,226.4","7,366.3","7,373.1","7,630.5","7,300.3","7,465.7","7,363.1","7,666.6","7,182.6","7,270.6","7,270.0","7,390.9","7,121.6","7,079.7","6,740.0","7,042.4","6,710.6","6,834.0","6,825.4","6,946.6","6,785.1","7,120.4","7,370.2","7,551.8","7,383.4","7,587.0","7,498.3","7,992.0","8,061.3","8,385.3","8,517.5","8,567.8","8,485.2","8,791.8","8,992.1","9,194.3","8,921.3","9,098.6","9,107.4","9,607.5","9,498.8","9,701.5","9,820.0","9,995.5"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    가죽, 가방 및 신발","십억원","원자료","1,494.0","1,482.4","1,454.9","1,352.2","1,372.2","1,339.6","1,326.0","1,222.0","1,230.1","1,174.7","1,186.0","1,164.5","1,161.1","1,177.2","1,194.2","1,168.8","1,198.4","1,287.8","1,367.4","1,319.2","1,445.5","1,477.3","1,561.6","1,536.5","1,552.8","1,520.2","1,467.6","1,453.8","1,458.0","1,454.4","1,487.1","1,438.5","1,473.1","1,494.3","1,578.0","1,542.1","1,561.0","1,660.9","1,742.2","1,737.9","1,785.1","1,854.7","1,914.5","1,900.7","1,952.1","2,005.8","2,051.4","1,921.3","1,990.9","1,932.2","1,948.8","1,976.8","2,021.3","1,996.0","2,049.5","1,994.4","2,073.2","2,056.9","2,006.3","1,997.0","1,984.9","2,059.5","2,047.1","2,039.3","2,032.8","2,062.3","2,060.3","2,036.9","2,116.9","2,209.9","2,266.9","2,259.9","2,274.7","2,239.1","2,221.0","2,402.2","2,398.2","2,318.7","2,290.5","2,252.3","2,360.6","2,415.7","2,421.3","2,388.4","2,355.4","2,229.4","2,233.1","2,293.5","2,269.1","2,272.8","2,305.0"
"1.2.5.2.1. 산업별대출금(예금은행, 전산업)","    목재 및 나무제품","십억원","원자료","1,340.5","1,432.9","1,524.3","1,488.7","1,533.4","1,472.3","1,460.6","1,419.4","1,427.3","1,398.7","1,356.6","1,387.8","1,393.0","1,448.1","1,471.4","1,536.1","1,613.4","1,740.0","1,811.4","1,833.0","1,860.4","1,934.1","2,024.4","2,160.2","2,206.7","2,192.3","2,201.9","2,184.0","2,178.4","2,156.5","2,157.1","2,136.3","2,151.3","2,155.6","2,165.1","2,203.7","2,242.1","2,277.8","2,345.2","2,223.0","2,296.0","2,360.9","2,394.0","2,387.2","2,526.4","2,612.1","2,650.7","2,674.3","2,840.8","2,940.9","2,959.1","2,989.4","3,046.1","3,121.1","3,110.0","3,093.1","3,175.5","3,220.1","3,307.1","3,293.6","3,311.7","3,292.1","3,342.2","3,356.5","3,451.8","3,497.1","3,518.5","3,478.0","3,534.8","3,568.0","3,616.7","3,604.6","3,621.5","3,670.3","3,694.1","3,716.2","3,808.4","3,916.0","3,981.8","4,035.1","4,090.5","4,150.6","4,209.3","4,239.0","4,301.1","4,268.4","4,347.4","4,342.6","4,366.6","4,362.1","4,359.2"
