date,M2
2004-01-01,854520.6
2004-02-01,860954.0
2004-03-01,868066.8
2004-04-01,870908.7
2004-05-01,873417.5
2004-06-01,878820.5
2004-07-01,879995.4
2004-08-01,885023.4
2004-09-01,892677.0
2004-10-01,893075.4
2004-11-01,897232.7
2004-12-01,899295.0
2005-01-01,902992.8
2005-02-01,910391.0
2005-03-01,922942.5
2005-04-01,930989.1
2005-05-01,933697.1
2005-06-01,939150.7
2005-07-01,948372.8
2005-08-01,960979.0
2005-09-01,957486.9
2005-10-01,957390.9
2005-11-01,955328.2
2005-12-01,960235.2
2006-01-01,957326.7
2006-02-01,961576.6
2006-03-01,965391.3
2006-04-01,971394.3
2006-05-01,977381.9
2006-06-01,987668.5
2006-07-01,991033.5
2006-08-01,998024.7
2006-09-01,1011962.9
2006-10-01,1023316.4
2006-11-01,1030437.4
2006-12-01,1041540.1
2007-01-01,1049517.4
2007-02-01,1057158.9
2007-03-01,1059549.0
2007-04-01,1063156.2
2007-05-01,1064962.8
2007-06-01,1075534.2
2007-07-01,1077650.1
2007-08-01,1082976.6
2007-09-01,1087170.4
2007-10-01,1088167.2
2007-11-01,1089973.1
2007-12-01,1097590.8
2008-01-01,1105916.8
2008-02-01,1117083.7
2008-03-01,1128670.7
2008-04-01,1143956.6
2008-05-01,1159581.9
2008-06-01,1175866.9
2008-07-01,1190474.9
2008-08-01,1198210.2
2008-09-01,1208134.1
2008-10-01,1237588.2
2008-11-01,1263562.7
2008-12-01,1286922.8
2009-01-01,1292462.7
2009-02-01,1303385.4
2009-03-01,1315293.5
2009-04-01,1329910.7
2009-05-01,1336604.2
2009-06-01,1339126.0
2009-07-01,1350651.5
2009-08-01,1380776.9
2009-09-01,1384414.2
2009-10-01,1394094.4
2009-11-01,1400475.5
2009-12-01,1399323.9
2010-01-01,1406577.5
2010-02-01,1425069.1
2010-03-01,1435032.5
2010-04-01,1448987.9
2010-05-01,1456909.3
2010-06-01,1466581.2
2010-07-01,1482417.4
2010-08-01,1488033.3
2010-09-01,1495141.5
2010-10-01,1498033.9
2010-11-01,1506545.1
2010-12-01,1516914.0
2011-01-01,1520642.1
2011-02-01,1521655.1
2011-03-01,1530223.2
2011-04-01,1539009.1
2011-05-01,1547725.2
2011-06-01,1550022.4
2011-07-01,1555990.0
2011-08-01,1571378.8
2011-09-01,1579257.0
2011-10-01,1597926.7
2011-11-01,1603013.1
2011-12-01,1599168.0
2012-01-01,1603967.0
2012-02-01,1612098.2
2012-03-01,1618320.7
2012-04-01,1629427.9
2012-05-01,1633889.0
2012-06-01,1647303.9
2012-07-01,1655328.1
2012-08-01,1665020.0
2012-09-01,1665281.6
2012-10-01,1676747.9
2012-11-01,1675811.9
2012-12-01,1686156.0
2013-01-01,1698131.6
2013-02-01,1711076.9
2013-03-01,1718308.7
2013-04-01,1717442.2
2013-05-01,1723903.5
2013-06-01,1735168.6
2013-07-01,1733115.5
2013-08-01,1739717.8
2013-09-01,1761110.1
2013-10-01,1767779.4
2013-11-01,1782729.9
2013-12-01,1795257.0
2014-01-01,1799846.9
2014-02-01,1814781.0
2014-03-01,1826090.4
2014-04-01,1830800.0
2014-05-01,1847499.7
2014-06-01,1858233.6
2014-07-01,1869730.2
2014-08-01,1891814.7
2014-09-01,1901679.4
2014-10-01,1912477.6
2014-11-01,1935697.0
2014-12-01,1946213.6
2015-01-01,1949424.5
2015-02-01,1966543.7
2015-03-01,1983317.2
2015-04-01,2006484.3
2015-05-01,2018864.2
2015-06-01,2028091.1
2015-07-01,2046768.0
2015-08-01,2058804.8
2015-09-01,2069757.1
2015-10-01,2076050.9
2015-11-01,2084185.5
2015-12-01,2094647.7
2016-01-01,2112089.3
2016-02-01,2129784.1
2016-03-01,2136613.8
2016-04-01,2145385.9
2016-05-01,2163643.3
2016-06-01,2178064.5
2016-07-01,2193889.4
2016-08-01,2212930.6
2016-09-01,2215033.9
2016-10-01,2232353.3
2016-11-01,2255845.8
2016-12-01,2265136.6
2017-01-01,2274550.6
2017-02-01,2282605.6
2017-03-01,2294876.9
2017-04-01,2310909.5
2017-05-01,2321693.3
2017-06-01,2324589.3
2017-07-01,2339181.8
2017-08-01,2354321.9
2017-09-01,2357905.7
2017-10-01,2377964.0
2017-11-01,2393249.7
2017-12-01,2404905.7
2018-01-01,2416728.8
2018-02-01,2433495.6
2018-03-01,2437719.2
2018-04-01,2444524.3
2018-05-01,2455881.4
2018-06-01,2459364.0
2018-07-01,2472679.0
2018-08-01,2488391.7
2018-09-01,2486251.4
2018-10-01,2508905.0
