date,산업별대출금
2004-01-01,294659.0
2004-04-01,295670.5
2004-07-01,296491.1
2004-10-01,289328.8
2005-01-01,292520.1
2005-04-01,296151.4
2005-07-01,301395.0
2005-10-01,308408.9
2006-01-01,318130.8
2006-04-01,329970.6
2006-07-01,340521.9
2006-10-01,353208.0
2007-01-01,368426.4
2007-04-01,396994.3
2007-07-01,420229.7
2007-10-01,440043.1
2008-01-01,465822.9
2008-04-01,493407.0
2008-07-01,516928.7
2008-10-01,528536.9
2009-01-01,542479.1
2009-04-01,546886.1
2009-07-01,553547.2
2009-10-01,544001.2
2010-01-01,552454.8
2010-04-01,556336.9
2010-07-01,560760.7
2010-10-01,555691.0
2011-01-01,573215.7
2011-04-01,584543.5
2011-07-01,602620.3
2011-10-01,607335.8
2012-01-01,617245.1
2012-04-01,625821.0
2012-07-01,637571.3
2012-10-01,632513.2
2013-01-01,641951.6
2013-04-01,655155.4
2013-07-01,669031.6
2013-10-01,673629.1
2014-01-01,690495.6
2014-04-01,707670.5
2014-07-01,718984.6
2014-10-01,730466.5
2015-01-01,745640.5
2015-04-01,756542.9
2015-07-01,772893.3
2015-10-01,783088.0
2016-01-01,791997.0
2016-04-01,800346.0
2016-07-01,810308.0
2016-10-01,806728.9
2017-01-01,817387.2
2017-04-01,822902.4
2017-07-01,836999.8
2017-10-01,843655.5
2018-01-01,856956.7
2018-04-01,865254.1
2018-07-01,881382.7
2018-10-01,887195.6
2019-01-01,898811.4
2019-04-01,911049.7
2019-07-01,919087.4
2019-10-01,930894.2
2020-01-01,965794.0
2020-04-01,1010764.4
2020-07-01,1031203.6
2020-10-01,1043846.8
2021-01-01,1068655.2
2021-04-01,1090533.3
2021-07-01,1118875.3
2021-10-01,1140596.6
2022-01-01,1168729.3
2022-04-01,1204944.4
2022-07-01,1237308.8
2022-10-01,1263286.4
2023-01-01,1280694.0
2023-04-01,1303185.4
2023-07-01,1333599.7
2023-10-01,1350510.1
2024-01-01,1376237.7
2024-04-01,1401619.3
2024-07-01,1421247.1
2024-10-01,1422899.1
2025-01-01,1436710.4
2025-04-01,1451007.2
2025-07-01,1471429.0
