date,ipi
2004-01-01,64.9
2004-02-01,65.6
2004-03-01,65.2
2004-04-01,65.8
2004-05-01,65.7
2004-06-01,64.9
2004-07-01,64.8
2004-08-01,65
2004-09-01,65.6
2004-10-01,65.4
2004-11-01,65.3
2004-12-01,64.8
2005-01-01,66.9
2005-02-01,66.4
2005-03-01,67.6
2005-04-01,67.2
2005-05-01,67.3
2005-06-01,67.7
2005-07-01,68
2005-08-01,68.4
2005-09-01,68.6
2005-10-01,69.2
2005-11-01,70.8
2005-12-01,69.6
2006-01-01,70.8
2006-02-01,70.5
2006-03-01,71
2006-04-01,71.7
2006-05-01,72
2006-06-01,70.5
2006-07-01,69.2
2006-08-01,72.7
2006-09-01,73
2006-10-01,74.9
2006-11-01,74.6
2006-12-01,73.2
2007-01-01,73.6
2007-02-01,75.6
2007-03-01,74.2
2007-04-01,75
2007-05-01,75.5
2007-06-01,75.4
2007-07-01,76.5
2007-08-01,78.1
2007-09-01,76.6
2007-10-01,79
2007-11-01,78.9
2007-12-01,79
2008-01-01,79.8
2008-02-01,79.7
2008-03-01,79.3
2008-04-01,79.9
2008-05-01,79.7
2008-06-01,78
2008-07-01,79.2
2008-08-01,79.4
2008-09-01,78.6
2008-10-01,78.4
2008-11-01,75.1
2008-12-01,71.8
2009-01-01,73.7
2009-02-01,76.2
2009-03-01,75.9
2009-04-01,78.6
2009-05-01,77.9
2009-06-01,79.8
2009-07-01,79.8
2009-08-01,80.2
2009-09-01,82.6
2009-10-01,81.1
2009-11-01,81.4
2009-12-01,82.3
2010-01-01,81.9
2010-02-01,84.2
2010-03-01,84.6
2010-04-01,84.1
2010-05-01,85.4
2010-06-01,85.4
2010-07-01,84.7
2010-08-01,84.3
2010-09-01,84.2
2010-10-01,84.8
2010-11-01,85.1
2010-12-01,86.1
2011-01-01,88.2
2011-02-01,84.7
2011-03-01,87.8
2011-04-01,86.8
2011-05-01,87.1
2011-06-01,88
2011-07-01,87.3
2011-08-01,87.8
2011-09-01,87.7
2011-10-01,88.6
2011-11-01,87.5
2011-12-01,86.9
2012-01-01,87.5
2012-02-01,89.7
2012-03-01,88.4
2012-04-01,88.2
2012-05-01,89.3
2012-06-01,88.2
2012-07-01,88.7
2012-08-01,87.7
2012-09-01,88.5
2012-10-01,88.7
2012-11-01,89.2
2012-12-01,89.1
2013-01-01,89.7
2013-02-01,90.5
2013-03-01,89
2013-04-01,90.3
2013-05-01,90.1
2013-06-01,89.6
2013-07-01,89.5
2013-08-01,90.3
2013-09-01,89.6
2013-10-01,91.1
2013-11-01,90.7
2013-12-01,90.2
2014-01-01,92
2014-02-01,91.5
2014-03-01,91.6
2014-04-01,91.8
2014-05-01,90.8
2014-06-01,91.9
2014-07-01,92.3
2014-08-01,91.4
2014-09-01,90.5
2014-10-01,91.4
2014-11-01,91.3
2014-12-01,91.5
2015-01-01,91.5
2015-02-01,92.8
2015-03-01,92.1
2015-04-01,92.9
2015-05-01,91.6
2015-06-01,92.2
2015-07-01,92.4
2015-08-01,93.8
2015-09-01,95
2015-10-01,94.3
2015-11-01,93.9
2015-12-01,94.6
2016-01-01,93.5
2016-02-01,94.6
2016-03-01,95.2
2016-04-01,94.8
2016-05-01,96
2016-06-01,96.4
2016-07-01,95.9
2016-08-01,96.3
2016-09-01,96.4
2016-10-01,95.8
2016-11-01,97.4
2016-12-01,97.3
2017-01-01,97.7
2017-02-01,97.9
2017-03-01,99
2017-04-01,98.1
2017-05-01,98.4
2017-06-01,98.1
2017-07-01,98.4
2017-08-01,98.7
2017-09-01,100.4
2017-10-01,98.5
2017-11-01,99.3
2017-12-01,98.7
2018-01-01,99.6
2018-02-01,100.2
2018-03-01,99
2018-04-01,100.6
2018-05-01,100.6
2018-06-01,100.3
2018-07-01,101.1
2018-08-01,101.1
2018-09-01,100.3
2018-10-01,101.1
2018-11-01,99.8
2018-12-01,99.2
2019-01-01,100.7
2019-02-01,98
2019-03-01,99.2
2019-04-01,101
2019-05-01,101
2019-06-01,99.8
2019-07-01,101.8
2019-08-01,101.8
2019-09-01,101.7
2019-10-01,102
2019-11-01,101.9
2019-12-01,103.1
2020-01-01,103.4
2020-02-01,100.4
2020-03-01,98.6
2020-04-01,97.2
2020-05-01,95.9
2020-06-01,98.6
2020-07-01,99.8
2020-08-01,99.6
2020-09-01,101.4
2020-10-01,101.3
2020-11-01,102.2
2020-12-01,101.5
2021-01-01,101.6
2021-02-01,103.7
2021-03-01,104.5
2021-04-01,104.1
2021-05-01,104.2
2021-06-01,105
2021-07-01,105.2
2021-08-01,105.1
2021-09-01,106.3
2021-10-01,106.7
2021-11-01,108
2021-12-01,109.6
2022-01-01,110
2022-02-01,108.2
2022-03-01,110
2022-04-01,110.7
2022-05-01,110.7
2022-06-01,111.2
2022-07-01,111.9
2022-08-01,111
2022-09-01,110.9
2022-10-01,110.1
2022-11-01,111
2022-12-01,109.5
2023-01-01,108.7
2023-02-01,110.6
2023-03-01,111.6
2023-04-01,110.1
2023-05-01,111.9
2023-06-01,111.9
2023-07-01,111.1
2023-08-01,112.6
2023-09-01,114
2023-10-01,112.8
2023-11-01,113.5
2023-12-01,113.1
2024-01-01,113.3
2024-02-01,114.6
2024-03-01,112.7
2024-04-01,114.1
2024-05-01,113.3
2024-06-01,113.1
2024-07-01,112.4
2024-08-01,113.5
2024-09-01,113.2
2024-10-01,113.8
2024-11-01,112.4
2024-12-01,114.4
2025-01-01,112.6
2025-02-01,113.4
2025-03-01,114.6
2025-04-01,113.8
2025-05-01,112.4
2025-06-01,114.2
2025-07-01,114.6
2025-08-01,114.3
2025-09-01,115.8
2025-10-01,112.8
2025-11-01,113.8
2025-12-01,115.5
