date,value,yoy,retail_z
2005-01-01,60.9,-0.036392405,-1.700159582
2005-02-01,59.2,0.044091711,0.510750342
2005-03-01,63.7,0.051155116,0.704783059
2005-04-01,62.4,0.02800659,0.068889818
2005-05-01,63.7,0.032414911,0.189987015
2005-06-01,62.6,0.034710744,0.253053867
2005-07-01,61.8,0.031719533,0.170884875
2005-08-01,59.9,0.060176991,0.952615245
2005-09-01,63.9,0.012678288,-0.352180765
2005-10-01,65.1,0.043269231,0.488156702
2005-11-01,67.7,0.076311606,1.395835365
2005-12-01,73.6,0.116843703,2.509257738
2006-01-01,67.4,0.106732348,2.231497415
2006-02-01,59.8,0.010135135,-0.422041542
2006-03-01,66.1,0.037676609,0.334526602
2006-04-01,65.4,0.048076923,0.620224682
2006-05-01,67.2,0.054945055,0.808893226
2006-06-01,65.8,0.051118211,0.703769283
2006-07-01,61.4,-0.006472492,-0.878255381
2006-08-01,62.4,0.041736227,0.446044875
2006-09-01,67.3,0.053208138,0.761179866
2006-10-01,67.7,0.039938556,0.396662601
2006-11-01,69.7,0.029542097,0.11107043
2006-12-01,74.9,0.017663043,-0.215248846
2007-01-01,67.6,0.002967359,-0.618941354
2007-02-01,66.1,0.105351171,2.193556275
2007-03-01,70.3,0.063540091,1.045000062
2007-04-01,67.9,0.0382263,0.349626679
2007-05-01,70.9,0.055059524,0.812037701
2007-06-01,68.4,0.039513678,0.384991136
2007-07-01,67,0.091205212,1.804964806
2007-08-01,66.1,0.059294872,0.928383303
2007-09-01,71.8,0.066864785,1.136329866
2007-10-01,72.3,0.067946824,1.166053647
2007-11-01,72.7,0.043041607,0.481903842
2007-12-01,75.4,0.006675567,-0.517076351
2008-01-01,71.2,0.053254438,0.762451738
2008-02-01,68.4,0.034795764,0.255389384
2008-03-01,73.5,0.045519203,0.549963765
2008-04-01,72.3,0.064801178,1.079642311
2008-05-01,73.3,0.033850494,0.229422675
2008-06-01,67.9,-0.007309942,-0.901260239
2008-07-01,69.8,0.041791045,0.447550726
2008-08-01,67.7,0.024205749,-0.035519814
2008-09-01,70.5,-0.01810585,-1.197825344
2008-10-01,69.9,-0.033195021,-1.612326987
2008-11-01,69.4,-0.045392022,-1.947380319
