date,value
2004-01-01,29327132
2004-02-01,27432556
2004-03-01,31295903
2004-04-01,29174975
2004-05-01,29152840
2004-06-01,29114389
2004-07-01,29389130
2004-08-01,29395413
2004-09-01,27721341
2004-10-01,28639196
2004-11-01,30425958
2004-12-01,31436738
2005-01-01,28710307
2005-02-01,26862975
2005-03-01,30504413
2005-04-01,28480831
2005-05-01,30897535
2005-06-01,30971416
2005-07-01,29198249
2005-08-01,30784734
2005-09-01,29784830
2005-10-01,30227933
2005-11-01,31338923
2005-12-01,32936834
2006-01-01,30287440
2006-02-01,27890872
2006-03-01,31693526
2006-04-01,28607743
2006-05-01,31769357
2006-06-01,31150692
2006-07-01,30955226
2006-08-01,31128376
2006-09-01,31238297
2006-10-01,31606139
2006-11-01,31779233
2006-12-01,32851651
2007-01-01,33171590
2007-02-01,29832200
2007-03-01,32136036
2007-04-01,33275124
2007-05-01,34562275
2007-06-01,31772369
2007-07-01,34738700
2007-08-01,33267747
2007-09-01,31469389
2007-10-01,36864061
2007-11-01,34979932
2007-12-01,37562822
2008-01-01,37047103
2008-02-01,34010421
2008-03-01,39351878
2008-04-01,37517521
2008-05-01,38040015
2008-06-01,37573846
2008-07-01,40291279
2008-08-01,36005688
2008-09-01,39607257
2008-10-01,39319067
2008-11-01,36208939
2008-12-01,41447592
2009-01-01,35801266
2009-02-01,34154131
2009-03-01,41598659
2009-04-01,37703408
2009-05-01,37338285
2009-06-01,39465251
2009-07-01,39653302
2009-08-01,37360988
2009-09-01,40178846
2009-10-01,38886456
2009-11-01,40398343
2009-12-01,43819262
2010-01-01,37293708
2010-02-01,35695020
2010-03-01,44989877
2010-04-01,39607121
2010-05-01,40587662
2010-06-01,40279767
2010-07-01,41360524
2010-08-01,41665371
2010-09-01,41079489
2010-10-01,41072428
2010-11-01,44316792
2010-12-01,45788120
2011-01-01,44348384
2011-02-01,39286019
2011-03-01,45802472
2011-04-01,43365817
2011-05-01,47226380
2011-06-01,45181924
2011-07-01,44452984
2011-08-01,46411423
2011-09-01,46060517
2011-10-01,45224513
2011-11-01,45537738
2011-12-01,47895631
2012-01-01,45186542
2012-02-01,43012603
2012-03-01,46326784
2012-04-01,46044761
2012-05-01,48844253
2012-06-01,46057681
