"날짜","종가","시가","고가","저가","거래량","변동 %"
"2026- 02- 01","5,354.49","5,122.62","5,376.92","4,899.30","5.77B","2.49%"
"2026- 01- 01","5,224.36","4,224.53","5,321.68","4,216.68","11.55B","23.97%"
"2025- 12- 01","4,214.17","3,967.92","4,226.36","3,892.08","8.41B","7.32%"
"2025- 11- 01","3,926.59","4,123.36","4,226.75","3,833.35","7.30B","-4.40%"
"2025- 10- 01","4,107.50","3,444.06","4,146.72","3,440.42","8.66B","19.94%"
"2025- 09- 01","3,424.60","3,164.58","3,497.95","3,135.02","8.20B","7.49%"
"2025- 08- 01","3,186.01","3,210.32","3,242.17","3,079.27","6.36B","-1.83%"
"2025- 07- 01","3,245.44","3,089.64","3,288.26","3,032.47","11.31B","5.66%"
"2025- 06- 01","3,071.70","2,692.91","3,129.09","2,685.14","10.77B","13.86%"
"2025- 05- 01","2,697.67","2,556.52","2,720.64","2,540.57","8.02B","5.52%"
"2025- 04- 01","2,556.61","2,511.24","2,571.41","2,284.72","11.38B","3.04%"
"2025- 03- 01","2,481.12","2,522.20","2,654.63","2,479.46","9.44B","-2.04%"
"2025- 02- 01","2,532.78","2,468.74","2,680.70","2,437.61","9.55B","0.61%"
"2025- 01- 01","2,517.37","2,400.87","2,552.57","2,386.84","8.30B","4.91%"
"2024- 12- 01","2,399.49","2,479.02","2,515.62","2,360.18","9.93B","-2.30%"
"2024- 11- 01","2,455.91","2,542.96","2,593.15","2,390.56","10.06B","-3.92%"
"2024- 10- 01","2,556.15","2,566.55","2,635.32","2,552.36","7.74B","-1.43%"
"2024- 09- 01","2,593.27","2,683.80","2,695.59","2,491.30","6.53B","-3.03%"
"2024- 08- 01","2,674.31","2,787.27","2,794.11","2,386.96","8.69B","-3.48%"
"2024- 07- 01","2,770.69","2,792.96","2,896.43","2,703.86","10.79B","-0.97%"
"2024- 06- 01","2,797.82","2,657.81","2,812.62","2,657.81","12.19B","6.12%"
"2024- 05- 01","2,636.52","2,693.22","2,773.46","2,635.44","10.28B","-2.06%"
"2024- 04- 01","2,692.06","2,766.24","2,769.87","2,553.55","10.64B","-1.99%"
"2024- 03- 01","2,746.63","2,664.52","2,779.40","2,630.16","10.17B","3.95%"
"2024- 02- 01","2,642.36","2,491.93","2,694.80","2,491.93","10.03B","5.82%"
"2024- 01- 01","2,497.09","2,645.47","2,675.80","2,429.12","12.21B","-5.96%"
"2023- 12- 01","2,655.28","2,520.49","2,655.28","2,481.00","8.54B","4.73%"
"2023- 11- 01","2,535.29","2,292.89","2,535.29","2,288.64","9.19B","11.30%"
"2023- 10- 01","2,277.99","2,435.78","2,479.82","2,273.97","9.78B","-7.59%"
"2023- 09- 01","2,465.07","2,551.93","2,611.00","2,445.51","7.81B","-3.57%"
"2023- 08- 01","2,556.27","2,644.34","2,668.21","2,482.06","12.29B","-2.90%"
"2023- 07- 01","2,632.58","2,580.89","2,646.71","2,515.07","12.04B","2.66%"
"2023- 06- 01","2,564.28","2,572.56","2,650.45","2,541.72","12.52B","-0.50%"
"2023- 05- 01","2,577.12","2,504.01","2,596.31","2,455.99","13.83B","3.02%"
"2023- 04- 01","2,501.53","2,485.81","2,582.23","2,458.50","16.70B","1.00%"
