,date,국고채(3년),"회사채(3년, AA-)",spread_pp,spread_z
0,2004-01-01,4.88,5.67,0.79,0.1635109729620443
1,2004-02-01,4.83,5.63,0.7999999999999998,0.18280237042205982
2,2004-03-01,4.58,5.37,0.79,0.1635109729620443
3,2004-04-01,4.54,5.29,0.75,0.08634538312198053
4,2004-05-01,4.39,5.07,0.6800000000000006,-0.048694399098129774
5,2004-06-01,4.28,4.91,0.6299999999999999,-0.14515138639821076
6,2004-07-01,4.19,4.77,0.5799999999999992,-0.24160837369829175
7,2004-08-01,3.82,4.38,0.56,-0.28019116861832194
8,2004-09-01,3.59,4.1,0.5099999999999998,-0.37664815591840206
9,2004-10-01,3.54,4.01,0.46999999999999975,-0.45381374575846584
10,2004-11-01,3.42,3.86,0.43999999999999995,-0.5116879381385132
11,2004-12-01,3.28,3.73,0.4500000000000002,-0.49239654067849686
12,2005-01-01,3.65,4.11,0.4600000000000004,-0.47310514321848046
13,2005-02-01,4.19,4.63,0.4399999999999995,-0.5116879381385141
14,2005-03-01,4.04,4.48,0.4400000000000004,-0.5116879381385123
15,2005-04-01,3.86,4.28,0.4200000000000004,-0.5502707330585442
16,2005-05-01,3.71,4.12,0.41000000000000014,-0.5695621305185606
17,2005-06-01,3.79,4.18,0.3899999999999997,-0.6081449254385933
18,2005-07-01,4.12,4.52,0.39999999999999947,-0.5888535279785778
19,2005-08-01,4.33,4.75,0.41999999999999993,-0.5502707330585451
20,2005-09-01,4.52,4.92,0.40000000000000036,-0.5888535279785762
21,2005-10-01,4.81,5.2,0.39000000000000057,-0.6081449254385917
22,2005-11-01,5.1,5.5,0.40000000000000036,-0.5888535279785762
23,2005-12-01,5.06,5.49,0.4300000000000006,-0.5309793355985278
24,2006-01-01,5.02,5.5,0.4800000000000004,-0.4345223482984486
25,2006-02-01,4.87,5.33,0.45999999999999996,-0.47310514321848135
26,2006-03-01,4.93,5.3,0.3700000000000001,-0.6467277203586244
27,2006-04-01,4.95,5.24,0.29000000000000004,-0.8010589000387519
28,2006-05-01,4.78,5.05,0.2699999999999996,-0.8396416949587847
29,2006-06-01,4.89,5.17,0.28000000000000025,-0.8203502974987674
30,2006-07-01,4.89,5.18,0.29000000000000004,-0.8010589000387519
31,2006-08-01,4.77,5.1,0.33000000000000007,-0.7238933101986882
32,2006-09-01,4.69,5.02,0.3299999999999992,-0.7238933101986899
33,2006-10-01,4.62,4.93,0.3099999999999996,-0.7624761051187209
34,2006-11-01,4.72,5.05,0.33000000000000007,-0.7238933101986882
35,2006-12-01,4.82,5.18,0.35999999999999943,-0.6660191178186416
36,2007-01-01,4.97,5.32,0.35000000000000053,-0.6853105152786554
37,2007-02-01,4.91,5.28,0.3700000000000001,-0.6467277203586244
38,2007-03-01,4.79,5.2,0.41000000000000014,-0.5695621305185606
39,2007-04-01,4.94,5.34,0.39999999999999947,-0.5888535279785778
