,재별 및 상품군별,date,value,retail_log_yoy,retail_log_yoy_z
0,총지수,1996-01-01,46.6,0.05514075867879997,0.40409604954238737
1,총지수,1996-01-01,49.5,0.11098799252355507,1.2863707649394063
2,총지수,1996-02-01,43.6,0.1560638237052192,1.9984788388618846
3,총지수,1996-03-01,46.1,0.11480482850041351,1.3466691475694377
4,총지수,1996-04-01,48.9,0.09879271942973666,1.0937098154652178
5,총지수,1996-05-01,46.8,0.1421151363159141,1.7781174467332945
6,총지수,1996-06-01,44.9,0.11806147085239083,1.3981175901588732
7,총지수,1996-07-01,46.1,0.10271278273538487,1.1556389836482517
8,총지수,1996-08-01,42.0,0.09221972209676821,0.989869590050101
9,총지수,1996-09-01,46.4,0.09251237317997729,0.994492892465878
10,총지수,1996-11-01,48.4,0.10215171162104131,1.1467751810273195
11,총지수,1996-12-01,53.0,0.06027091079464908,0.48514220324332424
12,총지수,1997-01-01,46.8,0.004282661792001097,-0.39936026990876017
13,총지수,1997-01-01,50.4,0.01801850550267803,-0.18236138265387136
14,총지수,1997-02-01,45.3,0.0382498821339996,0.13725394707056568
15,총지수,1997-03-01,48.3,0.0466186106559241,0.2694631375103402
16,총지수,1997-04-01,51.6,0.05374427600669085,0.38203441340984584
17,총지수,1997-05-01,50.2,0.07013182377408222,0.6409249268186515
18,총지수,1997-06-01,47.1,0.0478352062741636,0.2886829175950493
19,총지수,1997-07-01,49.8,0.07720203402800463,0.7526201229839009
20,총지수,1997-08-01,45.9,0.08879549878313098,0.9357737030829283
21,총지수,1997-09-01,49.8,0.07071552479839793,0.6501462368039707
22,총지수,1997-11-01,48.3,-0.0020682530640590002,-0.49969203589590133
23,총지수,1997-12-01,48.1,-0.09700973644040634,-1.999577785977763
24,총지수,1998-01-01,40.7,-0.13965511047505164,-2.6732894928817506
25,총지수,1998-01-01,42.4,-0.1728428128394106,-3.1975888832435113
26,총지수,1998-02-01,37.4,-0.19163632806850206,-3.4944888755716614
27,총지수,1998-03-01,41.7,-0.14693043185377075,-2.788225035019333
28,총지수,1998-04-01,41.7,-0.21302054368276124,-3.832316757924887
29,총지수,1998-05-01,40.6,-0.21224696008999633,-3.8200956827318038
30,총지수,1998-06-01,38.8,-0.19385275439314453,-3.52950398321707
31,총지수,1998-07-01,39.0,-0.24445333790096102,-4.3288921057762435
32,총지수,1998-08-01,37.3,-0.2074717904167298,-3.7446575423905095
33,총지수,1998-09-01,40.6,-0.20424691742292023,-3.6937109921868942
34,총지수,1998-11-01,42.5,-0.12792748472815552,-2.488016437158199
35,총지수,1998-12-01,44.6,-0.07554831808569729,-1.6605302545717728
36,총지수,1999-01-01,42.9,0.05264373348542151,0.36464804039029086
37,총지수,1999-01-01,50.8,0.18074799234652383,2.388439385938548
38,총지수,1999-02-01,41.4,0.1016101764107824,1.138220006659386
39,총지수,1999-03-01,45.0,0.07616136096556358,0.7361795677983239
40,총지수,1999-04-01,45.7,0.09159716909540316,0.980034496451271
41,총지수,1999-05-01,45.6,0.11613964991265346,1.367756658991464
42,총지수,1999-06-01,44.5,0.13706894254296698,1.698397667106586
43,총지수,1999-07-01,46.5,0.17589066646366414,2.311703341628753
44,총지수,1999-08-01,44.1,0.16746645580303055,2.178617644247287
45,총지수,1999-09-01,48.3,0.1736634940508397,2.276518467260095
46,총지수,1999-11-01,50.8,0.17839227865406482,2.3512238161692616
47,총지수,1999-12-01,53.6,0.18381520905073812,2.436895281754161
48,총지수,2000-01-01,50.6,0.16507975035944877,2.1409124667298802
49,총지수,2000-01-01,53.4,0.04991439138171305,0.32152988820992773
50,총지수,2000-02-01,49.1,0.17057815396920617,2.227776258290655
51,총지수,2000-03-01,52.2,0.14842000511827358,1.8777217770691588
52,총지수,2000-04-01,53.2,0.1519600984474394,1.9336481787804942
53,총지수,2000-05-01,54.8,0.1837824774336294,2.4363781875996082
54,총지수,2000-06-01,51.9,0.15382960099964826,1.9631825839538846
55,총지수,2000-07-01,53.9,0.1476781653216408,1.8660021904328041
56,총지수,2000-08-01,50.6,0.1374917938406197,1.7050778727785247
57,총지수,2000-09-01,52.8,0.08907963005368913,0.9402624094808841
58,총지수,2000-11-01,54.3,0.06662787235545364,0.5855694950844825
59,총지수,2000-12-01,54.9,0.023964280438728114,-0.08843001795816086
60,총지수,2001-01-01,54.4,0.07241257756847697,0.6769562799638041
61,총지수,2001-01-01,58.4,0.0895051438680321,0.9469846775969836
62,총지수,2001-02-01,49.1,0.0,-0.4670177697266193
63,총지수,2001-03-01,55.1,0.054067221270275745,0.3871363033496452
64,총지수,2001-04-01,55.9,0.04950598381345461,0.31507786460473275
65,총지수,2001-05-01,57.9,0.05502719062497974,0.40230190119403814
66,총지수,2001-06-01,55.3,0.0634541183564461,0.5354305228661207
67,총지수,2001-07-01,55.7,0.03284966901828712,0.05194136913711204
68,총지수,2001-08-01,53.4,0.0538591696727293,0.38384950378275096
