q,episode_id,start,end,duration,peak_date,peak_gap,peak_fin,dd_H3,trough_H3,crash_H3_X0.8,crash_H3_X1.0,crash_H3_X1.2,dd_H6,trough_H6,crash_H6_X0.8,crash_H6_X1.0,crash_H6_X1.2,dd_H12,trough_H12,crash_H12_X0.8,crash_H12_X1.0,crash_H12_X1.2
0.85,1,2005-01-01,2005-04-01,4,2005-01-01,1.745655965680954,0.6893178485804459,-0.04662722890168036,2005-03-01,0.0,0.0,0.0,-0.04662722890168036,2005-03-01,0.0,0.0,0.0,-0.07409469939547553,2005-11-01,0.0,0.0,0.0
0.85,2,2005-07-01,2005-07-01,1,2005-07-01,1.2438666980541433,1.128220408162847,-0.3944794515064268,2005-10-01,0.0,0.0,0.0,-0.5129972589778767,2005-11-01,0.0,0.0,0.0,-0.6650460167824039,2006-07-01,0.0,0.0,0.0
0.85,3,2009-10-01,2009-11-01,2,2009-10-01,1.3422214885758816,1.6411396386763013,0.8236384993689037,2010-01-01,0.0,0.0,0.0,-0.33675408386983374,2010-04-01,0.0,0.0,0.0,-1.3019549156858012,2010-09-01,1.0,1.0,1.0
0.85,4,2010-01-01,2010-02-01,2,2010-01-01,1.3617046953403145,2.464778138045205,-1.1603925832387374,2010-04-01,1.0,1.0,0.0,-2.0067893628355926,2010-07-01,1.0,1.0,1.0,-2.125593415054705,2010-09-01,1.0,1.0,1.0
0.85,5,2013-01-01,2013-02-01,2,2013-01-01,0.9235355197966736,0.2580012026517708,-0.06571080617328609,2013-04-01,0.0,0.0,0.0,-0.2260207084276271,2013-07-01,0.0,0.0,0.0,-0.3199971951286008,2014-01-01,0.0,0.0,0.0
0.85,6,2013-05-01,2013-05-01,1,2013-05-01,1.03628212799504,0.332602478303994,-0.3006219840798503,2013-07-01,0.0,0.0,0.0,-0.3006219840798503,2013-07-01,0.0,0.0,0.0,-0.42628121861820517,2014-02-01,0.0,0.0,0.0
0.85,7,2013-09-01,2013-09-01,1,2013-09-01,1.0441160655325552,0.1003526260064585,-0.107073656870838,2013-12-01,0.0,0.0,0.0,-0.1940313663206697,2014-02-01,0.0,0.0,0.0,-0.1940313663206697,2014-02-01,0.0,0.0,0.0
0.85,8,2014-05-01,2014-05-01,1,2014-05-01,0.9627916783490134,0.2330458354175386,0.10994965589628469,2014-08-01,0.0,0.0,0.0,-0.4801008128151698,2014-11-01,0.0,0.0,0.0,-0.4801008128151698,2014-11-01,0.0,0.0,0.0
0.85,9,2015-01-01,2015-01-01,1,2015-01-01,1.0297643839938877,-0.0796177862806232,-0.023818175215261694,2015-02-01,0.0,0.0,0.0,-0.3616808787721489,2015-07-01,0.0,0.0,0.0,-0.5446330609693429,2015-08-01,0.0,0.0,0.0
0.85,10,2017-05-01,2017-05-01,1,2017-05-01,0.866571436983776,0.3639112223932007,-0.2912855899017925,2017-08-01,0.0,0.0,0.0,-0.3929381695575049,2017-09-01,0.0,0.0,0.0,-0.3929381695575049,2017-09-01,0.0,0.0,0.0
0.85,11,2017-10-01,2017-10-01,1,2017-10-01,1.38366950322451,0.3016234613038864,0.17255820955225448,2017-11-01,0.0,0.0,0.0,-0.033968515628098106,2018-03-01,0.0,0.0,0.0,-0.7508854369115789,2018-10-01,0.0,0.0,0.0
0.85,12,2017-12-01,2018-01-01,2,2017-12-01,1.126577023390706,0.617124994486533,-0.3494700488107447,2018-03-01,0.0,0.0,0.0,-0.6982936992087223,2018-06-01,0.0,0.0,0.0,-1.1136004193663371,2018-12-01,1.0,1.0,0.0
0.85,13,2020-03-01,2020-05-01,3,2020-03-01,1.4529123592925743,-0.787654277883216,0.03491474205793177,2020-04-01,0.0,0.0,0.0,0.03491474205793177,2020-04-01,0.0,0.0,0.0,0.03491474205793177,2020-04-01,0.0,0.0,0.0
0.85,14,2020-08-01,2020-08-01,1,2020-08-01,0.9317142546287912,-0.1733423800398826,-0.09351487311816362,2020-10-01,0.0,0.0,0.0,-0.09351487311816362,2020-10-01,0.0,0.0,0.0,-0.09351487311816362,2020-10-01,0.0,0.0,0.0
0.85,15,2020-10-01,2021-01-01,4,2020-12-01,1.9086007267038672,0.2190843036679041,0.18226011940270037,2021-01-01,0.0,0.0,0.0,0.18226011940270037,2021-01-01,0.0,0.0,0.0,-0.2221312024859908,2021-12-01,0.0,0.0,0.0
0.85,16,2023-07-01,2023-10-01,4,2023-07-01,1.0642990987936671,0.1493197032352752,-0.02616677820787798,2023-08-01,0.0,0.0,0.0,-0.18776291400639758,2024-01-01,0.0,0.0,0.0,-0.20142027237783178,2024-07-01,0.0,0.0,0.0
0.85,17,2023-12-01,2023-12-01,1,2023-12-01,1.0237436830892757,0.5984439390857679,-0.6368871498568903,2024-01-01,0.0,0.0,0.0,-0.6368871498568903,2024-01-01,0.0,0.0,0.0,-1.243607098578361,2024-12-01,1.0,1.0,1.0
0.85,18,2024-03-01,2024-03-01,1,2024-03-01,0.995911626257432,0.0375647185251764,-0.0434809744177899,2024-05-01,0.0,0.0,0.0,-0.08966528766773299,2024-07-01,0.0,0.0,0.0,-0.6827278780177694,2024-12-01,0.0,0.0,0.0
0.85,19,2024-05-01,2024-06-01,2,2024-06-01,1.0410974465025449,0.0860344092736172,-0.1381349784161738,2024-07-01,0.0,0.0,0.0,-0.7311975687662101,2024-12-01,0.0,0.0,0.0,-0.7311975687662101,2024-12-01,0.0,0.0,0.0
0.85,20,2024-09-01,2024-09-01,1,2024-09-01,1.061267362325373,0.1858191231683464,-0.8309822826609393,2024-12-01,1.0,0.0,0.0,-0.8309822826609393,2024-12-01,1.0,0.0,0.0,-0.8309822826609393,2024-12-01,1.0,0.0,0.0
0.85,21,2025-10-01,2025-11-01,2,2025-10-01,1.479528423260504,0.6361170690005314,,,,,,,,,,,,,,,
