,USD_KRW,KOSPI,Foreign_Net_Buy_Sum
2015-01-01,1098.800048828125,1949.26,-1044955928506.0
2015-02-01,1100.6700439453125,1985.8,1327869371813.0
2015-03-01,1107.0999755859375,2041.03,2864168712617.0
2015-04-01,1075.06005859375,2127.17,3471482485897.0
2015-05-01,1107.0,2110.89,658725904343.0
2015-06-01,1117.56005859375,2074.2,-852200720585.0
2015-07-01,1170.77001953125,2019.03,-1549382130166.0
2015-08-01,1180.949951171875,1941.49,-3592930321319.0
2015-09-01,1183.8399658203125,1962.81,-1555796540030.0
2015-10-01,1139.8599853515625,2029.47,339122479990.0
2015-11-01,1154.8299560546875,1991.97,-1948542960288.0
2015-12-01,1169.449951171875,1961.31,-3296635885387.0
2016-01-01,1205.6300048828125,1912.06,-2966837773343.0
2016-02-01,1241.1300048828125,1916.66,265219728227.0
2016-03-01,1140.800048828125,1995.85,3418932307536.0
2016-04-01,1134.0,2000.93,1680667441798.0
2016-05-01,1187.739990234375,1983.4,299729331411.0
2016-06-01,1151.25,1970.35,1195213112678.0
2016-07-01,1123.3499755859375,2021.1,2911716918626.0
2016-08-01,1114.43994140625,2034.65,939763275069.0
2016-09-01,1101.6199951171875,2068.72,1117454573062.0
2016-10-01,1146.699951171875,2008.19,317250671625.0
2016-11-01,1167.8599853515625,1983.48,-355612250966.0
2016-12-01,1210.3399658203125,2026.46,1010538589773.0
2017-01-01,1169.2099609375,2067.57,1639570884276.0
2017-02-01,1133.93994140625,2091.64,313730177238.0
2017-03-01,1117.02001953125,2164.64,3500581895518.0
2017-04-01,1129.93994140625,2209.46,695618366510.0
2017-05-01,1119.02001953125,2347.38,1464692265951.0
2017-06-01,1146.1400146484375,2395.66,1105055503367.0
2017-07-01,1118.72998046875,2402.71,-678509077463.0
2017-08-01,1123.5400390625,2363.19,-1118335722144.0
2017-09-01,1145.93994140625,2373.14,-1670697838996.0
2017-10-01,1123.449951171875,2523.43,2624424761355.0
2017-11-01,1080.6600341796875,2476.37,-253936501008.0
2017-12-01,1073.550048828125,2467.49,-1750298358475.0
2018-01-01,1072.5400390625,2566.46,1956755640283.0
2018-02-01,1079.3900146484375,2427.36,-1556670534998.0
2018-03-01,1062.0,2436.37,-575042400278.0
2018-04-01,1069.449951171875,2515.38,-531814321050.0
2018-05-01,1079.949951171875,2423.01,-1278959050558.0
2018-06-01,1120.5400390625,2314.24,-1570344978670.0
2018-07-01,1112.199951171875,2295.26,489005723676.0
2018-08-01,1115.449951171875,2307.35,1043502863400.0
2018-09-01,1112.31005859375,2355.43,-337557133287.0
2018-10-01,1137.699951171875,2029.69,-3384743149856.0
2018-11-01,1117.02001953125,2096.86,353392112928.0
2018-12-01,1119.5999755859375,2041.04,-59104457757.0
2019-01-01,1109.0,2204.85,4033557861554.0
2019-02-01,1115.0999755859375,2195.44,134757650507.0
2019-03-01,1134.3199462890625,2140.67,300528557736.0
2019-04-01,1163.260009765625,2203.59,2059047850111.0
2019-05-01,1188.3800048828125,2038.8,-2067491902393.0
2019-06-01,1155.510009765625,2134.32,485369011835.0
2019-07-01,1186.31005859375,2024.55,1815668439549.0
2019-08-01,1207.1600341796875,1933.41,-2033303745835.0
2019-09-01,1198.0,2063.05,-929443685914.0
2019-10-01,1163.699951171875,2083.48,-444219763162.0
2019-11-01,1177.010009765625,2087.96,-3175187289675.0
2019-12-01,1160.6800537109375,2197.67,600094803326.0
2020-01-01,1187.1199951171875,2119.01,320195969391.0
