통계표,계정항목,단위,가중치,변환,2015/01,2015/02,2015/03,2015/04,2015/05,2015/06,2015/07,2015/08,2015/09,2015/10,2015/11,2015/12,2016/01,2016/02,2016/03,2016/04,2016/05,2016/06,2016/07,2016/08,2016/09,2016/10,2016/11,2016/12,2017/01,2017/02,2017/03,2017/04,2017/05,2017/06,2017/07,2017/08,2017/09,2017/10,2017/11,2017/12,2018/01,2018/02,2018/03,2018/04,2018/05,2018/06,2018/07,2018/08,2018/09,2018/10,2018/11,2018/12,2019/01,2019/02,2019/03,2019/04,2019/05,2019/06,2019/07,2019/08,2019/09,2019/10,2019/11,2019/12,2020/01,2020/02,2020/03,2020/04,2020/05,2020/06,2020/07,2020/08,2020/09,2020/10,2020/11,2020/12,2021/01,2021/02,2021/03,2021/04,2021/05,2021/06,2021/07,2021/08,2021/09,2021/10,2021/11,2021/12,2022/01,2022/02,2022/03,2022/04,2022/05,2022/06,2022/07,2022/08,2022/09,2022/10,2022/11,2022/12,2023/01,2023/02,2023/03,2023/04,2023/05,2023/06,2023/07,2023/08,2023/09,2023/10,2023/11,2023/12,2024/01,2024/02,2024/03,2024/04,2024/05,2024/06,2024/07,2024/08,2024/09,2024/10,2024/11,2024/12,2025/01,2025/02,2025/03,2025/04,2025/05,2025/06,2025/07,2025/08,2025/09,2025/10,2025/11,2025/12,2026/01
"4.2.1. 소비자물가지수","총지수","2020=100","1000","원자료","94.643","94.587","94.596","94.625","94.89","94.909","95.08","95.213","94.966","94.966","94.786","95.07","95.232","95.64","95.393","95.573","95.63","95.611","95.431","95.677","96.247","96.379","96.237","96.342","97.366","97.632","97.565","97.442","97.546","97.338","97.499","98.058","98.172","98.077","97.347","97.698","98.106","98.855","98.751","98.931","98.979","98.779","98.59","99.462","100.221","100.041","99.33","98.988","98.884","99.311","99.121","99.481","99.652","99.491","99.187","99.425","99.794","100.041","99.481","99.719","100.09","100.16","99.94","99.5","99.44","99.71","99.63","100.19","100.74","100.18","100.09","100.33","101.04","101.58","101.84","101.98","102.05","102.05","102.26","102.75","103.17","103.35","103.87","104.04","104.85","105.42","106.1","106.83","107.5","108.21","108.73","108.63","108.82","109.16","109.07","109.26","110.07","110.33","110.52","110.77","111.13","111.16","111.29","112.28","112.85","113.27","112.68","112.73","113.17","113.78","113.95","114.01","114.1","113.84","114.13","114.54","114.65","114.69","114.4","114.91","115.71","116.08","116.29","116.38","116.27","116.31","116.52","116.45","117.06","117.42","117.2","117.57","118.03"
"4.2.1. 소비자물가지수","  식료품 및 비주류음료","2020=100","142","원자료","87.795","88.385","87.549","87.461","88.737","88.473","88.244","88.825","88.649","87.769","86.607","87.998","88.711","91.062","90.023","90.067","89.133","87.742","87.734","88.94","93.271","91.986","90.621","91.581","94.346","94.434","93.606","92.611","92.312","91.643","91.907","94.645","95.825","93.465","90.859","91.951","93.324","96.027","94.486","94.962","94.073","92.866","93.148","98.026","101.424","98.748","95.675","95.842","95.789","96.441","95.508","96.318","95.816","94.768","93.923","94.821","97.304","97.497","94.988","95.974","97.16","96.66","98.06","97.65","98.45","98.68","99.15","101.8","104.79","104.85","101.24","101.51","103.39","105.69","105.84","105.35","105.16","104.56","104.75","106.2","107.87","106.72","107.25","107.85","109.34","109.63","109.55","110.29","111.35","111.32","112.99","114.56","116.06","114.72","112.46","113.53","115.37","115.91","116.46","115.9","115.99","116.3","117.3","120.53","122.46","122.85","119.8","120.56","122.2","123.96","124.22","122.75","121.9","120.68","121.54","122.99","124.72","124.53","121.32","123.61","125.13","126.45","127.26","126.48","124.78","124.74","125.75","128.96","128.82","128.88","127.08","128.01","128.75"
"4.2.1. 소비자물가지수","    식료품","2020=100","132.3","원자료","87.239","87.825","86.933","86.828","88.14","87.939","87.702","88.28","88.052","87.152","85.892","87.405","88.148","90.641","89.53","89.591","88.664","87.134","87.178","88.463","93.011","91.611","90.177","91.148","94.095","94.209","93.36","92.39","92.119","91.314","91.568","94.454","95.669","93.186","90.536","91.725","93.063","95.94","94.244","94.838","93.85","92.53","92.862","98.03","101.581","98.843","95.485","95.669","95.512","96.229","95.276","96.185","95.59","94.462","93.553","94.497","97.191","97.322","94.76","95.809","96.98","96.5","97.97","97.49","98.34","98.59","99.09","101.91","105.12","105.16","101.25","101.6","103.55","106.05","106.16","105.67","105.46","104.82","104.98","106.54","108.31","107.02","107.5","108.09","109.63","109.8","109.72","110.38","111.55","111.47","113.32","115.04","116.57","115.1","112.66","113.71","115.46","115.82","116.3","115.68","115.84","116.06","117.13","120.68","122.71","123.09","119.81","120.65","122.38","124.3","124.72","123.06","122.1","120.91","121.57","123.16","125.05","124.74","121.24","123.52","125.02","126.51","127.28","126.44","124.7","124.48","125.46","128.94","128.83","128.79","126.84","127.84","128.59"
"4.2.1. 소비자물가지수","      빵 및 곡물","2020=100","22.3","원자료","88.351","87.841","88.026","87.762","88.114","87.727","87.639","87.815","87.736","88.043","87.912","87.437","86.725","86.752","87.235","87.27","86.629","86.541","85.697","85.917","85.68","85.653","84.942","85.091","85.697","85.592","85.1","85.223","85.478","85.091","85.337","85.407","86.681","88.289","88.852","89.379","89.941","91.365","92.498","93.228","93.57","93.5","93.869","94.458","94.906","96.839","97.911","98.526","98.675","98.851","99.519","99.633","99.853","99.73","99.633","99.466","99.37","99.712","99.624","99.308","98.78","99.16","99.5","99.46","99.33","99.37","99.17","99.42","99.89","100.98","102.18","102.76","103.51","103.53","105.77","105.98","106.32","106.48","106.67","106.76","107.57","107.63","107.43","107.41","107.38","107.86","109.92","109.77","109.81","109.66","110.54","111.04","110.99","112.89","114.12","114.27","114.1","116.27","116.19","116.69","116.72","116.79","116.67","117.83","118.67","120.14","119.6","119.52","119.36","118.98","118.86","117.96","118.59","118.72","118.53","118.27","117.88","119.01","119.44","121.15","121.33","122.29","123.16","124.31","124.5","125.42","126.4","126.92","127.88","129.46","129.41","129.22","129.06"
"4.2.1. 소비자물가지수","        쌀","2020=100","4.2","원자료","86.179","85.517","84.965","84.838","85.059","84.693","85.008","84.931","85.279","85.5","84.065","82.927","80.091","79.981","80.185","79.081","76.805","76.066","75.548","75.896","75.013","72.984","71.54","70.666","70.071","69.638","68.56","68.246","69.052","67.099","68.118","68.899","73.408","79.276","80.516","81.416","82.418","84.49","86.893","89.075","89.636","90.086","91.096","92.174","93.236","98.636","99.868","100.768","100.411","100.258","100.216","99.435","99.698","99.197","98.9","98.348","98.518","98.636","98.832","98.059","97.65","97.52","97.28","97.09","96.91","97.19","97.14","97.73","100.14","103.86","108.33","109.17","109.54","109.84","110.19","110.08","110.65","110.73","111.17","111.2","109.91","107.1","106.8","105.63","103.98","102.93","101.94","99.94","98.25","96.75","95.2","92.73","90.22","91.04","96.21","95.79","94.27","94.6","93.99","93.43","94.04","94.34","95.56","100.05","103.44","108.58","106.41","105.79","104.96","103.26","101.24","97.65","100.38","100.55","100.35","98.78","98.35","99.18","99.88","99.38","98.77","99.88","100.89","102.05","102.76","104.69","107.93","109.69","113.98","120.31","118.42","117.5","116.84"
"4.2.1. 소비자물가지수","        현미","2020=100","0.4","원자료","86.402","86.635","86.903","87.041","86.73","86.911","86.419","86.661","85.158","85.944","85.546","86.255","85.814","85.849","85.676","83.007","83.257","84.277","83.819","82.506","81.771","80.795","80.052","78.325","77.746","77.314","76.251","76.787","76.787","76.476","76.675","76.718","76.968","77.314","79.897","82.532","83.784","84.536","85.218","85.762","86.229","86.16","86.998","87.162","88.147","92.604","100.551","103.108","103.774","104.214","104.205","104.059","103.748","104.059","104.637","104.326","104.396","104.43","103.592","102.486","100.48","99.43","99.94","100.23","99.81","99.41","98.98","98.85","97.92","99.4","100.85","104.69","105.8","105.81","105.44","106.29","108.18","108.45","108.45","108.81","108.83","108.91","108.53","108.41","107.3","106.56","105.35","105.26","104.02","102.96","102.32","101.37","101.76","101.05","100.45","98.87","98.32","97.68","96.17","96.16","96.02","96.07","96.46","96.93","97.68","98.85","99.94","100.36","101.98","102.45","102.77","102.67","103.55","103.42","103.55","104.15","104.13","104","105.28","108.51","110.31","112.22","115.14","117.94","118.8","120.86","127.22","129.39","131.81","133.99","132.44","130.29","129.82"
"4.2.1. 소비자물가지수","        찹쌀","2020=100","0.5","원자료","86.836","86.958","85.535","87.053","87.339","87.409","85.058","85.709","87.166","88.155","87.773","85.787","86.021","84.807","85.475","83.957","83.913","84","82.465","81.624","82.317","81.598","80.652","78.84","78.215","78.146","76.09","77.088","77.148","76.983","74.78","75.518","76.081","76.706","79.785","83.272","83.705","84.971","85.605","86.802","87.053","87.07","86.082","86.932","89.638","95.674","103.177","105.059","106.108","105.709","105.397","106.039","105.753","105.753","103.645","102.812","104.304","104.443","103.888","101.971","100.93","100.3","100.58","99.86","99.09","99.08","97.71","97.58","98.53","99.99","102.18","104.16","105.73","106.39","106.58","107.25","107.68","107.82","106.43","106","108","108.13","107.48","106.47","104.86","103.77","101.65","100.85","99.78","98.72","97.47","95.65","96.96","96.83","95.79","94.73","92.62","93.53","93.34","93.32","93","93.1","91.58","92.11","94.5","95.77","97.66","98.81","99.6","99.46","100.75","100.62","101.77","100.91","99.96","99.67","101.39","101.34","104.69","111.3","115.73","118.11","122.83","127.56","128.47","134.26","141.9","145.12","148.16","147.41","140.52","135.87","134.48"
"4.2.1. 소비자물가지수","        보리쌀","2020=100","0.2","원자료","104.004","104.057","104.192","104.286","104.286","102.426","104.307","104.893","104.736","105.509","105.499","105.885","106.481","106.23","105.75","105.865","105.854","105.394","105.049","105.028","104.694","104.966","105.06","104.757","104.433","104.182","103.576","105.237","105.969","106.836","108.247","109.261","109.48","110.076","110.651","110.797","111.027","111.832","111.194","111.497","111.362","111.424","111.048","110.86","110.588","110.724","110.766","111.341","111.487","111.487","111.476","111.497","111.142","111.226","110.233","108.091","107.317","106.575","106.366","104.778","103.49","103.4","102.82","102.01","98.86","99.44","98.6","98.13","98.52","98.32","98.24","98.16","98.32","98.4","98.1","98.01","98.21","98.62","100.48","100.96","101.27","101.54","101.72","101.43","101.82","101.54","102.49","103.15","103.03","103.56","106.59","108.84","109.5","110.08","111.03","110.74","111.66","112.04","113.04","113.58","113.7","113.92","114.95","116.55","116.97","118.03","118.23","118.36","118.8","118.72","120","121.66","122.24","123.49","130.62","137.6","142.69","143.84","149.16","158.42","162.71","166.69","170.12","174.8","176.72","178.22","184.96","190.76","194.95","197.52","198.51","198.34","198.42"
"4.2.1. 소비자물가지수","        콩","2020=100","0.5","원자료","84.424","79.675","75.737","76.028","78.235","78.112","76.12","73.631","73.393","74.718","74.619","74.535","74.121","69.847","71.287","68.858","68.95","69.035","69.004","66.844","66.461","67.625","70.253","80.709","86.056","86.883","86.163","87.036","88.729","89.748","90.859","91.801","93.073","93.632","93.915","94.099","94.559","95.983","97.416","101.292","103.054","104.149","104.486","104.862","107.252","111.036","114.031","115.195","116.329","116.605","116.651","116.98","117.019","116.053","115.05","114.345","113.104","112.154","110.745","106.922","102.98","99.99","99.87","99.31","98.09","97.15","97.15","97.39","97.81","98.51","101.85","109.9","114.73","116.99","116.96","117.38","117.23","117.58","117.63","116.61","117.43","117.48","116.86","113.13","111.21","107.37","106.74","105.09","104.37","103.59","102.98","102.95","102.45","102.67","101.95","100.18","99.32","97.8","98.08","98.42","98.19","98.26","97.84","98.17","99.71","101.29","101.92","102.5","101.76","103.88","103.37","103.21","103.93","104.08","104.55","105.69","105.67","105.71","105.82","106.63","106.68","106.89","107.57","107.83","106.93","106.96","108.06","108.54","108.23","108.91","108.63","107.31","106.72"
"4.2.1. 소비자물가지수","        땅콩","2020=100","0.1","원자료","86.527","86.98","87.264","88.898","90.008","89.973","89.795","89.147","89.431","89.112","89.094","89.369","88.641","89.937","90.008","89.724","88.685","88.463","88.987","90.159","90.301","89.191","89.049","88.57","88.872","89.991","89.316","88.81","88.019","88.117","88.046","87.593","85.684","86.314","87.105","88.33","88.17","87.922","88.046","88.153","87.344","87.486","87.646","87.318","87.264","87.575","88.366","90.674","91.847","92.957","94.004","93.72","94.173","94.271","94.928","94.484","94.919","94.04","95.132","96.26","97.46","97.25","97.83","98.21","98.38","99.83","100.18","100.63","100.94","101.71","103.55","104.04","104.32","104.55","104.96","104.42","104.84","105.38","105.62","105.8","106.32","105.73","104.92","104.88","104.21","105.4","105.95","106.17","107.06","106.68","107.09","106.29","106.4","106.02","106.45","106.83","107.18","107.35","107.98","108.1","108.99","108.7","109.45","109.55","109.82","110.79","113.04","114.58","113.96","114.36","115.76","116.61","117.05","118.14","117.94","118.23","118.22","118.68","119.54","120.44","120.92","121.67","121.58","121.27","122.16","122.38","122.46","122.73","122.81","122.33","121.1","120.71","119.87"
